name;RW;chipaddr;addr;dat;ack
I2C;R;0x0F;0x01;;True
I2C;R;0x0F;0x01;;True
I2C;R;0x0F;0x01;;True
I2C;R;0x0F;0x01;;True
I2C;R;0x0F;0x01;;True
I2C;R;0x0F;0x01;;True
I2C;R;0x0F;0x01;;True
I2C;R;0x0F;0x01;;True
I2C;R;0x0F;0x01;;True
I2C;R;0x0F;0x01;;True
I2C;R;0x0F;0x01;;True
I2C;R;0x0F;0x01;;True
I2C;R;0x0F;0x01;;True
I2C;R;0x0F;0x01;;True
I2C;R;0x0F;0x01;;True
I2C;R;0x0F;0x01;;True
I2C;R;0x0F;0x01;;True
I2C;R;0x0F;0x01;;True
I2C;R;0x0F;0x01;;True
I2C;R;0x0F;0x01;;True
I2C;R;0x0F;0x01;;True
I2C;R;0x0F;0x01;;True
I2C;R;0x0F;0x01;;True
I2C;R;0x0F;0x01;;True
I2C;R;0x0F;0x01;;True
I2C;R;0x0F;0x01;;True
I2C;R;0x0F;0x01;;True
I2C;R;0x0F;0x01;;True
I2C;R;0x0F;0x01;;True
I2C;R;0x0F;0x01;;True
I2C;R;0x0F;0x01;;True
I2C;R;0x0F;0x01;;True
I2C;R;0x0F;0x01;;True
I2C;R;0x0F;0x01;;True
I2C;R;0x0F;0x01;;True
I2C;R;0x0F;0x01;;True
I2C;R;0x0F;0x01;;True
I2C;R;0x0F;0x01;;True
I2C;R;0x0F;0x01;;True
I2C;R;0x0F;0x01;;True
I2C;R;0x0F;0x01;;True
I2C;R;0x0F;0x01;;True
I2C;R;0x0F;0x01;;True
I2C;R;0x0F;0x01;;True
I2C;R;0x0F;0x01;;True
I2C;R;0x0F;0x01;;True
I2C;R;0x0F;0x01;;True
I2C;R;0x0F;0x01;;True
